Time,Wavelength,LogTOTAL,LogSTELLA,LogNEBUL
.22706E+07,3190.00,38.25458,38.25458,-14.45844
.22706E+07,3210.00,38.24518,38.24518,-14.45694
.22706E+07,3230.00,38.23616,38.23616,-14.45544
.22706E+07,3250.00,38.22705,38.22705,-14.45395
.22706E+07,3270.00,38.21735,38.21735,-14.45246
.22706E+07,3290.00,38.20849,38.20849,-14.45098
.22706E+07,3310.00,38.19952,38.19952,-14.44950
.22706E+07,3330.00,38.19017,38.19017,-14.44803
.22706E+07,3350.00,38.18054,38.18054,-14.44617
.22706E+07,3370.00,38.17176,38.17176,-14.44431
.22706E+07,3390.00,38.16313,38.16313,-14.44245
.22706E+07,3410.00,38.15422,38.15422,-14.44061
.22706E+07,3430.00,38.14460,38.14460,-14.46144
.22706E+07,3450.00,38.13617,38.13617,-14.45967
.22706E+07,3470.00,38.12813,38.12813,-14.45789
.22706E+07,3490.00,38.11937,38.11937,-14.45613
.22706E+07,3510.00,38.11097,38.11097,-14.45438
.22706E+07,3530.00,38.10237,38.10237,-14.45263
.22706E+07,3550.00,38.09365,38.09365,-14.45089
.22706E+07,3570.00,38.08529,38.08529,-14.44915
.22706E+07,3590.00,38.07605,38.07605,-14.44742
.22706E+07,3610.00,38.06759,38.06759,-14.44570
.22706E+07,3630.00,38.05924,38.05924,-14.44398
.22706E+07,3640.00,38.05504,38.05504,-14.44313
.22706E+07,3650.00,38.08636,38.08636,-14.80560
.22706E+07,3670.00,38.07817,38.07817,-14.80629
.22706E+07,3690.00,38.06752,38.06752,-14.80697
.22706E+07,3710.00,38.05804,38.05804,-14.80766
.22706E+07,3730.00,38.04958,38.04958,-14.80835
.22706E+07,3750.00,38.04784,38.04784,-14.80904
.22706E+07,3770.00,38.04089,38.04089,-14.80973
.22706E+07,3790.00,38.03879,38.03879,-14.81042
.22706E+07,3810.00,38.03667,38.03667,-14.81112
.22706E+07,3830.00,38.01894,38.01894,-14.81182
.22706E+07,3850.00,38.02456,38.02456,-14.81251
.22706E+07,3870.00,38.01857,38.01857,-14.81321
.22706E+07,3890.00,37.99372,37.99372,-14.81391
.22706E+07,3910.00,38.00568,38.00568,-14.81461
.22706E+07,3930.00,37.99623,37.99623,-14.81531
.22706E+07,3950.00,37.98884,37.98884,-14.81601
.22706E+07,3970.00,37.96152,37.96152,-14.81671
.22706E+07,3990.00,37.97400,37.97400,-14.81742
.22706E+07,4010.00,37.96808,37.96808,-14.81812
.22706E+07,4030.00,37.95839,37.95839,-14.81883
.22706E+07,4050.00,37.95296,37.95296,-14.81954
.22706E+07,4070.00,37.94327,37.94327,-14.82024
.22706E+07,4090.00,37.92958,37.92958,-14.82095
.22706E+07,4110.00,37.91237,37.91237,-14.82167
.22706E+07,4130.00,37.92025,37.92025,-14.82238
.22706E+07,4150.00,37.91409,37.91409,-14.82309
.22706E+07,4170.00,37.90797,37.90797,-14.82380
.22706E+07,4190.00,37.90097,37.90097,-14.82452
.22706E+07,4210.00,37.89381,37.89381,-14.82524
.22706E+07,4230.00,37.88632,37.88632,-14.82596
.22706E+07,4250.00,37.87814,37.87814,-14.82668
.22706E+07,4270.00,37.86975,37.86975,-14.82740
.22706E+07,4290.00,37.86340,37.86340,-14.82812
.22706E+07,4310.00,37.85460,37.85460,-14.82884
.22706E+07,4330.00,37.83971,37.83971,-14.82957
.22706E+07,4350.00,37.82526,37.82526,-14.83029
.22706E+07,4370.00,37.83333,37.83333,-14.83102
.22706E+07,4390.00,37.82683,37.82683,-14.83174
.22706E+07,4410.00,37.82082,37.82082,-14.83247
.22706E+07,4430.00,37.81409,37.81409,-14.83320
.22706E+07,4450.00,37.80719,37.80719,-14.83394
.22706E+07,4470.00,37.79733,37.79733,-14.83467
.22706E+07,4490.00,37.79270,37.79270,-14.83540
.22706E+07,4510.00,37.78616,37.78616,-14.83614
.22706E+07,4530.00,37.77926,37.77926,-14.83687
.22706E+07,4550.00,37.77188,37.77188,-14.83761
.22706E+07,4570.00,37.76593,37.76593,-14.83835
.22706E+07,4590.00,37.75874,37.75874,-14.83909
.22706E+07,4610.00,37.75180,37.75180,-14.83983
